date,instance,obj_node_num,randomSeed,obj_iterTimes,obj_time,all_time
22/07/12 23:26:07,inf-roadNet-CA,1001433,60294,1306,1492.39,1500.49
22/07/12 23:26:07,inf-roadNet-CA,1001509,14846,1325,1487.12,1500.48
22/07/12 23:26:08,inf-roadNet-CA,1001552,18543,1260,1446.48,1501.07
22/07/12 23:26:08,inf-roadNet-CA,1001565,45014,1302,1491.42,1500.86
22/07/12 23:26:08,inf-roadNet-CA,1001552,36477,1190,1381.82,1500.83
22/07/12 23:26:07,inf-roadNet-CA,1001541,34473,1241,1380.99,1500.6
22/07/12 23:26:07,inf-roadNet-CA,1001479,62103,1292,1445.99,1500.65
22/07/12 23:26:07,inf-roadNet-CA,1001464,2349,1250,1422.27,1500.51
22/07/12 23:26:08,inf-roadNet-CA,1001485,34083,1297,1488.98,1500.76
22/07/12 23:26:07,inf-roadNet-CA,1001587,15324,1297,1499.33,1500.17
22/07/12 23:51:10,inf-roadNet-PA,555207,24259,2433,1443.32,1500.11
22/07/12 23:51:11,inf-roadNet-PA,555248,27750,2418,1432.09,1500.61
22/07/12 23:51:10,inf-roadNet-PA,555307,60761,2211,1283.88,1500.14
22/07/12 23:51:10,inf-roadNet-PA,555206,18196,2504,1470.38,1500.35
22/07/12 23:51:10,inf-roadNet-PA,555270,4453,2411,1421.11,1500.17
22/07/12 23:51:11,inf-roadNet-PA,555275,57465,2403,1425.84,1500.31
22/07/12 23:51:10,inf-roadNet-PA,555189,19188,2462,1429.3,1500.22
22/07/12 23:51:11,inf-roadNet-PA,555266,62528,2295,1384.32,1500.27
22/07/12 23:51:11,inf-roadNet-PA,555311,32215,2514,1471.08,1500.4
22/07/12 23:51:11,inf-roadNet-PA,555317,45503,2426,1478.66,1500.4
22/07/13 00:07:55,sc-msdoor,381558,38966,218,282.35,1000.83
22/07/13 00:07:55,sc-msdoor,381558,46895,246,311.778,1000.86
22/07/13 00:07:54,sc-msdoor,381558,26901,671,824.469,1000.03
22/07/13 00:07:55,sc-msdoor,381559,10039,671,829.851,1000.96
22/07/13 00:07:54,sc-msdoor,381558,22408,639,793.651,1000.15
22/07/13 00:07:54,sc-msdoor,381559,47404,308,387.316,1000.71
22/07/13 00:07:55,sc-msdoor,381558,20324,557,702.646,1000.92
22/07/13 00:07:54,sc-msdoor,381559,10649,218,279.567,1000.51
22/07/13 00:07:55,sc-msdoor,381558,10700,638,787.353,1001.03
22/07/13 00:07:54,sc-msdoor,381559,61882,219,285.44,1000.1
22/07/13 00:24:36,sc-nasasrb,51247,7095,15660,752.683,1000
22/07/13 00:24:36,sc-nasasrb,51246,47173,7126,365.667,1000.03
22/07/13 00:24:36,sc-nasasrb,51250,61006,7395,385.134,1000.04
22/07/13 00:24:36,sc-nasasrb,51246,50396,15027,726.848,1000.01
22/07/13 00:24:36,sc-nasasrb,51245,43905,12904,652.178,1000.03
22/07/13 00:24:36,sc-nasasrb,51244,61486,20366,971.632,1000.04
22/07/13 00:24:36,sc-nasasrb,51246,60567,18727,931.21,1000.01
22/07/13 00:24:37,sc-nasasrb,51243,32100,16668,796.886,1000.02
22/07/13 00:24:37,sc-nasasrb,51245,6383,7049,369.498,1000.05
22/07/13 00:24:37,sc-nasasrb,51246,46135,5472,286.582,1000.01
22/07/13 00:41:17,sc-pkustk11,83913,27292,55,23.7976,1000.06
22/07/13 00:41:17,sc-pkustk11,83914,37342,35,10.776,1000.13
22/07/13 00:41:17,sc-pkustk11,83913,4712,36,14.796,1000.28
22/07/13 00:41:17,sc-pkustk11,83912,5318,60,17.9765,1000.29
22/07/13 00:41:17,sc-pkustk11,83915,22580,74,24.6939,1000.05
22/07/13 00:41:17,sc-pkustk11,83912,59666,70,23.1528,1000.17
22/07/13 00:41:17,sc-pkustk11,83914,4000,46,16.5149,1000.29
22/07/13 00:41:17,sc-pkustk11,83915,22565,39,14.6422,1000.27
22/07/13 00:41:18,sc-pkustk11,83915,6678,38,14.726,1000.07
22/07/13 00:41:18,sc-pkustk11,83914,21227,1196,415.168,1000.24
22/07/13 00:57:59,sc-pkustk13,89221,7707,10468,938.42,1000.01
22/07/13 00:57:59,sc-pkustk13,89222,17577,7396,706.595,1000.04
22/07/13 00:57:59,sc-pkustk13,89220,47464,11091,991.268,1000.05
22/07/13 00:57:59,sc-pkustk13,89218,32380,10605,971.64,1000.02
22/07/13 00:57:59,sc-pkustk13,89221,8980,5894,543.182,1000.03
22/07/13 00:57:59,sc-pkustk13,89226,39014,4695,442.998,1000.06
22/07/13 00:57:59,sc-pkustk13,89221,26169,4553,425.712,1000.04
22/07/13 00:57:59,sc-pkustk13,89219,27769,7750,691.239,1000.03
22/07/13 00:57:59,sc-pkustk13,89221,13614,8237,759.342,1000.03
22/07/13 00:57:59,sc-pkustk13,89222,12307,7268,699.035,1000.03
22/07/13 01:14:40,sc-pwtk,207693,33256,1807,692.601,1000.08
22/07/13 01:14:40,sc-pwtk,207693,15616,2329,907.573,1000.11
22/07/13 01:14:40,sc-pwtk,207707,7512,1810,684.18,1000.1
